width	height	description	isModerated	moderatedBy	predicted
1_30_65	306	72	добежит.	1	Norlist	
1_30_650	435	75	добежит	1	Norlist	
1_30_651	303	82	добежит.	1	Norlist	
1_30_652	255	99	добежит.	1	Norlist	
1_30_653	411	66	добежит.	1	Norlist	
1_30_654	342	87	добежит,	1	Norlist	
1_30_655_	343	73	добежит	1	Norlist	
1_30_657_	332	65	добежит.	1	Norlist	
1_30_658	400	111	добежит.	1	Norlist	
1_30_659	249	80	добежит.	1	Norlist	
1_30_66	358	78	добежит	1	Norlist	
1_30_660	299	60	добежит.	1	Norlist	
1_30_661	314	83	добежит	1	Norlist	
1_30_662	312	84	добежит	1	Norlist	
1_30_664	317	75	добежит.	1	Norlist	
1_30_665	267	74	добежит.	1	Norlist	
1_30_666	400	131	добежит.	1	Norlist	
1_30_67	312	83	добежит	1	Norlist	
1_30_68	356	84	добежит	1	Norlist	
1_30_69	265	55	добежит.	1	Norlist	
1_30_70	273	83	добежит.	1	Norlist	
1_30_71	300	127	добежит.	1	Norlist	
1_30_73	299	63	добежит.	1	Norlist	
1_30_74	266	117	добежит.	1	Norlist	
1_30_75	341	104	добежит	1	Norlist	
1_30_76	270	86	добежит	1	Norlist	
1_30_78	290	88	добежит.	1	Norlist	
1_30_81	323	88	добежит.	1	Norlist	
1_30_83	250	71	добежит.	1	Norlist	
1_30_84	356	61	добежит.	1	Norlist	
1_30_85	364	73	добежит	1	Norlist	
1_30_86	245	65	добежит.	1	Norlist	
1_30_87	331	95	добежит	1	Daniyar Borisovich	
1_30_88	309	77	добежит	1	Norlist	
1_30_90	262	89	добежит.	1	Norlist	
1_30_91	350	91	добежит.	1	Norlist	
1_30_92_	338	126	добежит	1	Daniyar Borisovich	
1_30_93	360	89	добежит	1	Norlist	
1_30_94	307	116	добежит	1	Norlist	
1_30_95	272	77	добежит	1	Norlist	
1_30_96	355	83	добежит.	1	Norlist	
1_30_97	224	80	добежит	1	Norlist	
1_30_98	388	120	добежит	1	Norlist	
1_30_99	295	85	добежит.	1	Norlist	
1_31_100	335	67	джигит.	1	Norlist	
1_31_101	258	59	джигит.	1	Norlist	
1_31_102	328	83	джигит.	1	Daniyar Borisovich	
1_31_103	382	53	джигит	1	Norlist	
1_31_104	277	64	джигит	1	Norlist	
1_31_105	248	62	джигит.	1	Norlist	
1_31_106	393	72	джигит.	1	Norlist	
1_31_107	294	75	джигит.	1	Norlist	
1_31_108	289	58	джигит.	1	Norlist	
1_31_109	262	70	джигит.	1	Norlist	
1_31_111	286	68	джигит	1	Norlist	
1_31_112	291	65	джигит.	1	Norlist	
1_31_113	214	51	джигит.	1	Norlist	
1_31_114	269	57	джигит.	1	Norlist	
1_31_116	253	55	джигит	1	Norlist	
1_31_118	295	71	джигит	1	Norlist	
1_31_119	271	59	джигит.	1	Norlist	
1_31_120	265	57	джигит.	1	Norlist	
1_31_121	266	55	джигит	1	Norlist	
1_31_123	312	74	джигит	1	Norlist	
1_31_179	280	64	джигит	1	Norlist	
1_31_210	272	83	джигит	1	Norlist	
1_31_222	177	38	джигит	1	Norlist	
1_31_63	273	80	джигит.	1	Norlist	
1_31_637	269	50	Джигит	1	Norlist	
1_31_638	210	85	джиги	1	Norlist	
1_31_639	308	72	джигит.	1	Norlist	
1_31_64	298	62	джигит	1	Norlist	
1_31_640	394	78	джигит.	1	Norlist	
1_31_641	315	89	джигит	1	Norlist	
1_31_643	284	58	джигит.	1	Norlist	
1_31_644	273	76	джигит.	1	Norlist	
1_31_646	265	55	джигит	1	Norlist	
1_31_647	198	74	джигит.	1	Norlist	
1_31_648	354	88	джигит	1	Norlist	
1_31_649	250	66	джигит.	1	Norlist	
1_31_65	310	59	джигит.	1	Norlist	
1_31_650	437	72	джигит.	1	Norlist	
1_31_651	304	84	джигит.	1	Norlist	
1_31_652	256	68	джигит.	1	Norlist	
1_31_653	388	63	джигит.	1	Norlist	
1_31_654	322	62	джигит.	1	Norlist	
1_31_657_	325	58	джигит.	1	Norlist	
1_31_658	355	78	джигит.	1	Norlist	
1_31_659	232	62	джигит.	1	Norlist	
1_31_66	347	72	джигит.	1	Norlist	
1_31_660	290	72	джигит.	1	Norlist	
1_31_661	379	75	джигит.	1	Norlist	
1_31_662	311	61	джигит.	1	Norlist	
1_31_664	278	56	джигит.	1	Norlist	
1_31_665	223	51	джигит.	1	Norlist	
1_31_67	296	59	джигит	1	Norlist	
1_31_68	360	87	джигит.	1	Norlist	
1_31_70	259	67	джигит.	1	Norlist	
1_31_73	287	58	джигит.	1	Norlist	
1_31_75	300	97	джигит	1	Norlist	
1_31_76	264	68	джигит	1	Norlist	
1_31_78	271	67	джигит.	1	Norlist	
1_31_81	310	54	джигит.	1	Norlist	
1_31_83	242	79	джигит.	1	Norlist	
1_31_84	330	58	джигит	1	Norlist	
1_31_85	344	60	джигит.	1	Norlist	
1_31_86	227	60	джигит.	1	Norlist	
1_31_87	304	74	джигит.	1	Daniyar Borisovich	
1_31_88	276	69	джигит,	1	Norlist	
1_31_90	245	60	джигит.	1	Norlist	
1_31_91	321	69	джигит.	1	Norlist	
1_31_92_	307	108	джигит.	1	Daniyar Borisovich	
1_31_94	317	76	джигит.	1	Norlist	
1_31_95	256	71	джигит	1	Norlist	
1_31_96	316	68	джигит.	1	Norlist	
1_31_97	191	66	джигит	1	Norlist	
1_31_99	292	61	джигит.	1	Norlist	
1_32_101	304	86	Поцелуй,	1	Norlist	
1_32_102	334	114	Поцелуй,	1	Daniyar Borisovich	
1_32_103	413	75	Поцелуй,	1	Norlist	
1_32_104	269	83	Поцелуй	1	Norlist	
1_32_105	241	89	Поцелуй,	1	Norlist	
1_32_106	358	84	Поцелуй,	1	Norlist	
1_32_107	269	81	Поцелуй,	1	Norlist	
1_32_108	274	80	Поцелуй,	1	Norlist	
1_32_109	266	79	Поцелуй,	1	Norlist	
1_32_111	289	96	Поцелуи,	1	Norlist	
1_32_112	300	70	Поцелуй,	1	Norlist	
1_32_113	226	104	Поцелуй,	1	Norlist	
1_32_114	248	79	Поцелуй,	1	Norlist	
1_32_118	393	72	Поцелуй,	1	Norlist	
1_32_119	277	73	Поцелуй,	1	Norlist	
1_32_120	259	83	Поцелуй	1	Norlist	
1_32_121	326	69	Поцелуй,	1	Norlist	
1_32_123	289	88	Поцелуй,	1	Norlist	
1_32_169	291	57	Поцелуй,	1	Norlist	
1_32_172	305	45	Поцелуи,	1	Norlist	
1_32_177	272	63	Поцелуй	1	Norlist	
1_32_179	307	89	Поцелуй	1	Norlist	
1_32_189	347	76	Поцелуй	1	Norlist	
1_32_210	222	79	Поцелуй	1	Daniyar Borisovich	
1_32_222	161	47	Поцелуй,	1	Norlist	
1_32_63	274	103	Поцелуй,	1	Norlist	
1_32_637	268	83	Поцелуй	1	Norlist	
1_32_638	309	81	Поцелуй,	1	Norlist	
1_32_639	316	89	Поцелуй,	1	Norlist	
1_32_64	265	80	Поцелуй	1	Norlist	
1_32_640	454	96	Поцелуй,	1	Norlist	
1_32_641	351	78	Поцелуй,	1	Norlist	
1_32_643	262	71	Поцелуй,	1	Norlist	
1_32_644	293	71	Поцелуи,	1	Norlist	
1_32_646	271	59	Поцелуй	1	Norlist	
1_32_647	238	90	Поцелуй,	1	Norlist	
1_32_648	394	94	Поцелуй,	1	Norlist	
1_32_649	277	75	Поцелуй,	1	Norlist	
1_32_65	306	77	Поцелуй,	1	Norlist	
1_32_650	419	87	Поцелуй,	1	Norlist	
1_32_651	299	79	Поцелуй,	1	Norlist	
1_32_652	265	99	Поцелуй,	1	Norlist	
1_32_653	346	71	поцелуи	1	Norlist	
1_32_654	288	79	Поцелуй,	1	Norlist	
1_32_655_	344	43	поцелуи,	1	Norlist	
1_32_657_	347	47	Поцелуи,	1	Norlist	
1_32_658	338	88	Поцелуй,	1	Norlist	
1_32_659	243	86	Поцелуй,	1	Norlist	
1_32_66	367	87	Поцелуи	1	Norlist	
1_32_660	344	87	Поцелуй,	1	Norlist	
1_32_661	346	98	Поцелуй,	1	Norlist	
1_32_662	311	88	Поцелуй,	1	Norlist	
1_32_664	269	74	Поцелуй,	1	Norlist	
1_32_665	216	71	Поцелуй,	1	Norlist	
1_32_67	296	79	Поцелуй,	1	Norlist	
1_32_68	428	65	поцелуй,	1	Norlist	
1_32_70	259	67	Поцелуй	1	Norlist	
1_32_73	256	71	Поцелуй	1	Norlist	
1_32_75	448	121	Поцелуй,	1	Norlist	
1_32_76	289	108	Поцелуй	1	Norlist	
1_32_78	263	107	Поцелуй,	1	Norlist	
1_32_81	287	81	Поцелуй	1	Norlist	
1_32_83	258	67	Поцелуй.	1	Norlist	
1_32_84	322	92	Поцелуй	1	Norlist	
1_32_85	378	75	Поцелуй	1	Norlist	
1_32_86	220	84	Поцелуй,	1	Norlist	
1_32_87	291	95	Поцелуй	1	Daniyar Borisovich	
1_32_88	306	90	Поцелуй,	1	Norlist	
1_32_90	231	74	Поцелуй,	1	Norlist	
1_32_91	308	92	Поцелуй,	1	Norlist	
1_32_92_	334	80	поцелуй,	1	Daniyar Borisovich	
1_32_94	296	103	Поцелуй,	1	Norlist	
1_32_95	341	90	Поцелуй,	1	Norlist	
1_32_96	270	98	Поцелуй,	1	Norlist	
1_32_97	253	73	Поцелуй,	1	Norlist	
1_32_99	291	85	Поцелуй,	1	Norlist	
1_33_100	108	46	от,	1	Norlist	
1_33_101	72	29	от	1	Norlist	
1_33_102	105	43	от	1	Daniyar Borisovich	
1_33_103	125	33	от	1	Norlist	
1_33_104	82	29	от	1	Norlist	
1_33_105	67	32	от	1	Norlist	
1_33_106	138	32	от	1	Norlist	
1_33_107	102	39	от	1	Norlist	
1_33_108	84	34	от	1	Norlist	
1_33_111	84	43	от	1	Norlist	
1_33_112	117	38	от	1	Norlist	
1_33_113	186	35	от	1	Norlist	
1_33_114	86	32	от	1	Norlist	
1_33_116	103	41	от	1	Norlist	
1_33_118	126	54	от	1	Norlist	
1_33_119	74	33	от	1	Norlist	
1_33_120	81	38	от	1	Norlist	
1_33_123	264	37	от	1	Norlist	
1_33_179	89	32	от	1	Norlist	
1_33_63	75	42	от	1	Norlist	
1_33_637	112	53	от	1	Norlist	
1_33_639	112	41	от	1	Norlist	
1_33_640	115	48	от	1	Norlist	
1_33_642_	123	45	от	1	Norlist	
1_33_643	83	40	от	1	Norlist	
1_33_645	134	57	от	1	Norlist	
1_33_646	90	36	от	1	Norlist	
1_33_647	65	40	от	1	Norlist	
1_33_648	127	48	от	1	Norlist	
1_33_649	79	47	от	1	Norlist	
1_33_650	153	36	от	1	Norlist	
1_33_651	95	35	от	1	Norlist	
1_33_652	69	38	от	1	Norlist	
1_33_653	113	29	от	1	Norlist	
1_33_654	104	33	от	1	Norlist	
1_33_656_	120	34	от	1	Norlist	
1_33_657_	99	36	от	1	Norlist	
1_33_658	128	61	от	1	Norlist	
1_33_659	69	51	от	1	Norlist	
1_33_66	110	39	от	1	Norlist	
1_33_660	62	36	от	1	Norlist	
1_33_661	134	42	от	1	Norlist	
1_33_662	132	45	от	1	Norlist	
1_33_664	118	34	от	1	Norlist	
1_33_665	82	30	от	1	Norlist	
1_33_666	132	45	от	1	Norlist	
1_33_67	94	33	от	1	Norlist	
1_33_68	140	40	от	1	Norlist	
1_33_71	100	47	от	1	Daniyar Borisovich	
1_33_73	94	30	от	1	Norlist	
1_33_74	92	60	от	1	Daniyar Borisovich	
1_33_75	61	39	от	1	Norlist	
1_33_76	117	39	от	1	Norlist	
1_33_78	74	30	от	1	Norlist	
1_33_80	114	56	от	1	Daniyar Borisovich	
1_33_81	113	42	от	1	Norlist	
1_33_83	63	28	от	1	Norlist	
1_33_84	118	37	от	1	Norlist	
1_33_85	101	39	от	1	Norlist	
1_33_87	130	43	от	1	Daniyar Borisovich	
1_33_90	85	41	от	1	Norlist	
1_33_91	92	32	от	1	Norlist	
1_33_93	109	78	от	1	Daniyar Borisovich	
1_33_94	87	44	от	1	Norlist	
1_33_95	81	36	от	1	Norlist	
1_33_96	116	34	от	1	Norlist	
1_33_97	749	39	от	1	Norlist	
1_33_98	117	55	от	1	Daniyar Borisovich	
1_33_99	92	36	от	1	Norlist	
1_34_100	252	62	дрожит	1	Norlist	
1_34_101	268	71	дрожит	1	Norlist	
1_34_103	359	66	дрожит	1	Norlist	
1_34_104	249	81	дрожит	1	Norlist	
1_34_105	232	73	дрожит	1	Norlist	
1_34_106	318	67	дрожит	1	Norlist	
1_34_107	262	69	дрожит	1	Norlist	
1_34_108	263	67	дрожит	1	Norlist	
1_34_109	254	72	дрожит	1	Norlist	
1_34_111	289	73	дрожит	1	Norlist	
1_34_112	280	77	дрожит	1	Norlist	
1_34_113	202	71	дрожит	1	Norlist	
1_34_114	244	68	дрожит	1	Norlist	
1_34_119	249	72	дрожит	1	Norlist	
1_34_120	222	62	дрожит	1	Norlist	
1_34_123	301	67	дрожит	1	Norlist	
1_34_164	299	61	дрожит	1	Norlist	
1_34_165	271	58	дрожит	1	Norlist	
1_34_169	250	58	дрожит	1	Norlist	
1_34_172	233	47	дрожит	1	Norlist	
1_34_179	275	72	дрожит	1	Norlist	
1_34_189	356	60	дрожит	1	Norlist	
1_34_210	208	81	дрожит	1	Norlist	
1_34_221	253	55	дрожит	1	Norlist	
1_34_222	171	44	дрожит	1	Norlist	
1_34_63	271	81	дрожит	1	Norlist	
1_34_637	285	88	Дрожит	1	Norlist	
1_34_639	346	72	дрожит	1	Norlist	
1_34_641	321	91	дрожит	1	Norlist	
1_34_643	284	53	дрожит	1	Norlist	
1_34_644	254	76	дрожит	1	Norlist	
1_34_646	232	58	дрожит	1	Norlist	
1_34_647	218	72	дрожит	1	Norlist	
1_34_648	346	83	дрожит	1	Norlist	
1_34_649	231	63	дрожит	1	Norlist	
1_34_650	402	82	дрожит	1	Norlist	
1_34_651	286	72	дрожит	1	Norlist	
1_34_652	252	76	дрожит	1	Norlist	
1_34_654	276	59	дрожит	1	Norlist	
1_34_655_	333	58	дрожит	1	Norlist	
1_34_657_	310	54	дрожит	1	Norlist	
1_34_658	383	89	дрожит	1	Norlist	
1_34_659	263	59	Дрожит	1	Norlist	
1_34_66	325	70	дрожит	1	Norlist	
1_34_660	253	77	дрожит	1	Norlist	
1_34_661	331	85	дрожит	1	Norlist	
1_34_662	306	76	дрожит	1	Norlist	
1_34_664	257	74	дрожит	1	Norlist	
1_34_665	216	49	дрожит	1	Norlist	
1_34_67	286	64	дрожит	1	Norlist	
1_34_68	333	65	дрожит	1	Norlist	
1_34_70	253	62	дрожит	1	Norlist	
1_34_73	282	66	дрожит	1	Norlist	
1_34_76	238	70	дрожит	1	Norlist	
1_34_78	224	69	дрожит	1	Norlist	
1_34_81	291	78	дрожит	1	Norlist	
1_34_83	202	63	дрожит	1	Norlist	
1_34_84	375	76	дрожит	1	Norlist	
1_34_85	362	60	дрожит	1	Norlist	
1_34_87	261	84	дрожит	1	Daniyar Borisovich	
1_34_88	296	76	дрожит	1	Norlist	
1_34_90	243	65	дрожит	1	Norlist	
1_34_91	283	68	дрожит	1	Norlist	
1_34_92	315	111	дрожит	1	Daniyar Borisovich	
1_34_93	401	86	дрожит	1	Daniyar Borisovich	
1_34_94	292	75	дрожит	1	Norlist	
1_34_95	250	64	дрожит	1	Norlist	
1_34_99	267	77	дрожит	1	Norlist	
1_35_100	533	88	звонких струй.	1	Norlist	
1_35_101	426	90	звонких струй	1	Norlist	
1_35_103	685	84	звонких струй	1	Norlist	
1_35_104	425	82	звонких струй.	1	Norlist	
1_35_105	465	92	звонких струй.	1	Norlist	
1_35_106	642	73	звонких струй.	1	Norlist	
1_35_107	482	96	звонких струй.	1	Norlist	
1_35_108	492	89	звонких струй.	1	Norlist	
1_35_111	560	95	звонких струй	1	Norlist	
1_35_112	542	84	звонких струй	1	Norlist	
1_35_113	385	91	звонких струй	1	Norlist	
1_35_114	490	84	звонких струй.	1	Norlist	
1_35_118	524	80	звонких струй	1	Norlist	
1_35_119	447	85	звонких струй.	1	Norlist	
1_35_120	432	86	звонких струй	1	Norlist	
1_35_122_	281	46	звонких струи	1	Daniyar Borisovich	
1_35_123	576	91	звонких струй	1	Norlist	
1_35_164	523	81	звонких струй.	1	Norlist	
1_35_165	570	74	звонких струй.	1	Norlist	
1_35_169	471	67	звонких струй	1	Norlist	
1_35_172	552	65	звонких струй.	1	Norlist	
1_35_177	437	72	звонких струй	1	Norlist	
1_35_179	553	82	звонких струй	1	Norlist	
1_35_189	586	75	звонких струй	1	Norlist	
1_35_210	512	98	звонких струй	1	Norlist	
1_35_221	570	71	звонких струй.	1	Norlist	
1_35_63	548	102	звонких струй	1	Norlist	
1_35_637	445	82	звонких струи	1	Norlist	
1_35_639	561	106	звонких струй.	1	Norlist	
1_35_641	605	101	звонких струй	1	Norlist	
1_35_643	531	77	звонких струй.	1	Norlist	
1_35_644	499	89	звонких струй.	1	Norlist	
1_35_646	453	60	звонких струй	1	Norlist	
1_35_647	379	97	звонких струй.	1	Norlist	
1_35_648	559	113	звонких струй	1	Norlist	
1_35_649	452	84	звонких струй.	1	Norlist	
1_35_650	751	87	звонких струй	1	Norlist	
1_35_651	537	77	звонких струй	1	Norlist	
1_35_654	478	82	звонких струи	1	Norlist	
1_35_655_	557	71	звонких струй	1	Norlist	
1_35_657_	508	74	звонких струй.	1	Norlist	
1_35_658	598	82	звонких струй	1	Norlist	
1_35_659	477	101	звонких струй	1	Norlist	
1_35_66	613	112	звонких струй	1	Norlist	
1_35_660	566	69	звонких струй	1	Norlist	
1_35_661	520	76	Звонких струй	1	Norlist	
1_35_662	441	78	звонких струй	1	Norlist	
1_35_664	512	88	звонких струй.	1	Norlist	
1_35_665	413	95	звонких струй	1	Norlist	
1_35_67	485	86	звонких струй	1	Norlist	
1_35_68	663	78	звонких струй	1	Daniyar Borisovich	
1_35_70	428	90	звонких струй.	1	Norlist	
1_35_73	549	74	звонких струй	1	Norlist	
1_35_76	523	84	звонких струй	1	Norlist	
1_35_78	436	87	звонких струй.	1	Norlist	
1_35_81	565	84	звонких струй	1	Norlist	
1_35_83	475	63	звонких струй.	1	Norlist	
1_35_84	629	87	звонких струй	1	Norlist	
1_35_85	671	79	звонких струй.	1	Norlist	
1_35_87	573	112	звонких струй.	1	Daniyar Borisovich	
1_35_88	644	89	звонких струй	1	Norlist	
1_35_90	435	86	звонких струй.	1	Norlist	
1_35_91	556	77	звонких струй.	1	Norlist	
1_35_93	641	98	звонких струй.	1	Daniyar Borisovich	
1_35_95	553	89	звонких струй	1	Norlist	
1_35_97	453	97	звонких струй.	1	Norlist	
1_35_99	575	85	звонких струй.	1	Norlist	
1_36_100	316	72	обгоняет	1	Norlist	
1_36_101	295	65	обгоняет.	1	Norlist	
1_36_102	351	70	обгоняет.	1	Daniyar Borisovich	
1_36_103	428	59	обгоняет.	1	Norlist	
1_36_104	253	68	обгоняет.	1	Norlist	
1_36_105	269	61	обгоняет.	1	Norlist	
1_36_106	385	44	обгоняет.	1	Norlist	
1_36_107	289	75	обгоняет.	1	Norlist	
1_36_108	293	50	обгоняет.	1	Norlist	
1_36_111	322	57	обгоняет	1	Norlist	
1_36_112	375	67	обгоняет.	1	Norlist	
1_36_113	244	63	обгоняет.	1	Norlist	
1_36_114	263	60	обгоняет.	1	Norlist	
1_36_116_	358	48	обгоняет.	1	Daniyar Borisovich	
1_36_118	305	62	обгоняет	1	Norlist	
1_36_119	265	56	обгоняет.	1	Norlist	
1_36_120	277	66	обгоняет	1	Norlist	
1_36_123	318	49	обгоняет	1	Norlist	
1_36_165	320	45	обгоняет.	1	Norlist	
1_36_169	305	48	обгоняет.	1	Norlist	
1_36_172	301	37	обгоняет.	1	Norlist	
1_36_177	273	41	обгоняет	1	Norlist	
1_36_179	336	71	обгоняет.	1	Norlist	
1_36_189	341	37	обгоняет	1	Norlist	
1_36_210	299	55	обгоняет.	1	Norlist	
1_36_221	301	63	обгоняет	1	Norlist	
1_36_222	165	27	обгоняет	1	Norlist	
1_36_63	261	63	обгоняет.	1	Norlist	
1_36_637	299	66	Обгоняет	1	Norlist	
1_36_638_	294	52	обгоняет	1	Norlist	
1_36_639	361	64	обгоняет.	1	Norlist	
1_36_640	430	58	обгоняет.	1	Norlist	
1_36_641	330	57	обгоняет.	1	Norlist	
1_36_642_	377	67	обгоняет	1	Norlist	
1_36_643	314	58	обгоняет.	1	Norlist	
1_36_644	277	66	обгоняет.	1	Norlist	
1_36_646	259	53	обгоняет	1	Norlist	
1_36_647	202	52	обгоняет.	1	Norlist	
1_36_648	396	71	обгоняет.	1	Norlist	
1_36_649	276	69	обгоняет.	1	Norlist	
1_36_650	423	49	обгоняет.	1	Norlist	
1_36_651	285	61	обгоюяет	1	Norlist	
1_36_653_	361	36	обгоняет.	1	Norlist	
1_36_654	314	56	обгоняет.	1	Norlist	
1_36_655_	317	51	обгоняет	1	Norlist	
1_36_657_	346	45	обгоняет.	1	Norlist	
1_36_658	387	74	обгоняет.	1	Norlist	
1_36_659	210	55	обгоняет	1	Norlist	
1_36_66	301	70	обгоняет	1	Norlist	
1_36_660	341	51	обгоняет.	1	Norlist	
1_36_661	339	77	обгоняет	1	Norlist	
1_36_662	330	65	обгоняет.	1	Norlist	
1_36_664	322	62	обгоняет.	1	Norlist	
1_36_665	251	54	обгоняет.	1	Norlist	
1_36_67	272	52	обгоняет	1	Norlist	
1_36_68	374	74	обгоняет	1	Norlist	
1_36_70	261	67	обгоняет.	1	Norlist	
1_36_73	316	55	обгоняет.	1	Norlist	
1_36_75_	368	55	обгоняет	1	Daniyar Borisovich	
1_36_76	292	66	обгоняет	1	Norlist	
1_36_78	253	46	обгоняет.	1	Norlist	
1_36_81	345	69	обгоняет.	1	Norlist	
1_36_83	254	46	обгоняет.	1	Norlist	
1_36_84	404	44	обгоняет.	1	Norlist	
1_36_85	407	51	обгоняет.	1	Norlist	
1_36_86	242	38	обгоняет.	1	Daniyar Borisovich	
1_36_87	333	64	обгоняет.	1	Daniyar Borisovich	
1_36_88	368	67	обгоняет.	1	Norlist	
1_36_90	230	71	обгоняет	1	Norlist	
1_36_91	298	55	обгоняет.	1	Norlist	
1_36_93	393	78	обгоняет	1	Daniyar Borisovich	
1_36_95	286	67	обгоняет	1	Norlist	
1_36_96	327	27	обгоняет	1	Daniyar Borisovich	
1_36_97	245	52	обгоняет	1	Norlist	
1_36_99	303	60	обгоняет	1	Norlist	
1_37_100	530	49	моеи лежит,	1	Norlist	
1_37_101	372	56	моей лежит	1	Norlist	
1_37_102	531	52	моеи лежит.	1	Daniyar Borisovich	
1_37_103	636	36	моеи лежит	1	Norlist	
1_37_104	353	48	моей лежит	1	Norlist	
1_37_105	354	70	моей лежит,	1	Norlist	
1_37_106	546	53	моеи лежит,	1	Norlist	
1_37_107	491	69	моей лежит,	1	Norlist	
1_37_108	473	54	моеи лежит,	1	Norlist	
1_37_109	419	59	моеи лежит,	1	Daniyar Borisovich	
1_37_111	490	50	моеи лежит,	1	Norlist	
1_37_112	540	74	моей лежит,	1	Norlist	
1_37_113	342	67	моей лежит,	1	Norlist	
1_37_114	445	52	моеи лежит,	1	Norlist	
1_37_115	542	90	моей лежит	1	Daniyar Borisovich	
1_37_116_	463	66	моей лежит,	1	Daniyar Borisovich	
1_37_117_	372	68	моей лежит,	1	Daniyar Borisovich	
1_37_118	513	52	моей лежит	1	Norlist	
1_37_119	403	61	моей лежит,	1	Norlist	
1_37_120	395	43	моеи лежит	1	Norlist	
1_37_123	490	54	моей лежит	1	Norlist	
1_37_164	514	45	моеи лежит	1	Norlist	
1_37_165	434	44	моеи лежит,	1	Norlist	
1_37_169	415	43	моеи лежит,	1	Norlist	
1_37_172	474	40	моеи лежит,	1	Norlist	
1_37_179	467	74	моей лежит,	1	Norlist	
1_37_189	627	58	моей лежит,	1	Norlist	
1_37_210	443	64	моей лежит	1	Norlist	
1_37_221	528	45	моей лежит	1	Norlist	
1_37_222	270	20	моеи лежит	1	Norlist	
1_37_63	392	58	моей лежит,	1	Norlist	
1_37_637	365	48	Моей лежит	1	Norlist	
1_37_638_	509	49	моей лежит,	1	Norlist	
1_37_639	512	80	моей лежит,	1	Norlist	
1_37_640	580	76	моей лежит,	1	Norlist	
1_37_641	564	53	моей лежит	1	Norlist	
1_37_642_	592	72	моей лежит,	1	Norlist	
1_37_643	443	48	моеи лежит,	1	Norlist	
1_37_644	441	58	моеи лежит,	1	Norlist	
1_37_646	416	51	моей лежит	1	Norlist	
1_37_647	307	60	моей лежит,	1	Norlist	
1_37_648	623	64	моей лежит,	1	Norlist	
1_37_649	397	57	моей лежит,	1	Norlist	
1_37_650	640	74	моей лежит,	1	Norlist	
1_37_651	466	78	моей лежит,	1	Norlist	
1_37_652	402	60	моеи лежит,	1	Norlist	
1_37_653_	613	37	моеи лежит,	1	Norlist	
1_37_654	496	47	моеи лежит,	1	Norlist	
1_37_655_	450	32	моеи лежит	1	Norlist	
1_37_656_	533	78	моей лежит	1	Norlist	
1_37_657_	527	36	моеи лежит,	1	Norlist	
1_37_658	519	84	моей лежит,	1	Norlist	
1_37_659	407	76	моей лежип,	1	Norlist	
1_37_66	553	66	моей лежит.	1	Norlist	
1_37_660	476	59	моей лежит	1	Norlist	
1_37_661	505	61	моей лежит,	1	Norlist	
1_37_662	518	51	моеи лежит,	1	Norlist	
1_37_663_	605	95	моей лежит,	1	Norlist	
1_37_664	437	53	моеи лежит,	1	Norlist	
1_37_665	402	42	моей лежит,	1	Norlist	
1_37_666	609	61	моеи лежит,	1	Norlist	
1_37_67	488	38	моеи лежит	1	Norlist	
1_37_70	353	55	моей лежит	1	Norlist	
1_37_71	485	73	моей лежит,	1	Daniyar Borisovich	
1_37_73	452	57	моей лежит	1	Norlist	
1_37_74	432	78	моей лежит,	1	Daniyar Borisovich	
1_37_75_	614	70	моеи лежит,	1	Daniyar Borisovich	
1_37_76	478	55	моей лежит	1	Norlist	
1_37_78	403	35	моеи лежит	1	Norlist	
1_37_80	506	101	моей лежит,	1	Daniyar Borisovich	
1_37_81	490	58	моеи лежит,	1	Norlist	
1_37_83	421	34	моеи лежит,	1	Norlist	
1_37_84	511	39	моеи лежит	1	Norlist	
1_37_85	623	51	моей лежит	1	Norlist	
1_37_86	318	55	моей лежит,	1	Daniyar Borisovich	
1_37_87	508	62	моеи лежит,	1	Daniyar Borisovich	
1_37_88	505	52	моеи лежит	1	Norlist	
1_37_90	378	55	моей лежит,	1	Norlist	
1_37_91	445	69	моей лежит,	1	Norlist	
1_37_92	446	71	моей лежит	1	Daniyar Borisovich	
1_37_93	584	75	моей лежит,	1	Daniyar Borisovich	
1_37_94	520	68	моей лежит,	1	Daniyar Borisovich	
1_37_95	475	53	моей лежит,	1	Norlist	
1_37_96	470	49	моей лежит,	1	Daniyar Borisovich	
1_37_97	365	52	моеи лежит,	1	Norlist	
1_37_98	635	74	моей лежит	1	Daniyar Borisovich	
1_37_99	429	67	моей лежит,	1	Norlist	
1_38_100	351	39	обнимает	1	Norlist	
1_38_101	300	72	обнимает,	1	Norlist	
1_38_102	397	78	обнимает,	1	Daniyar Borisovich	
1_38_103	485	75	обнимает,	1	Norlist	
1_38_104	277	47	обнимает	1	Norlist	
1_38_105	298	76	обнимает,	1	Norlist	
1_38_106	414	77	обнимает,	1	Norlist	
1_38_107	379	78	обнимает,	1	Norlist	
1_38_108	298	81	обнимает,	1	Norlist	
1_38_109	316	57	обнимает,	1	Daniyar Borisovich	
1_38_111	347	55	обнимает	1	Norlist	
1_38_112	395	56	обнимает,	1	Norlist	
1_38_113	275	65	обнимает,	1	Norlist	
1_38_114	322	82	обнимает,	1	Norlist	
1_38_115	369	95	обнимает	1	Daniyar Borisovich	
1_38_116_	402	75	обнимает,	1	Daniyar Borisovich	
1_38_117_	248	108	обнимает,	1	Daniyar Borisovich	
