	width	height	description	moderatedBy
aug_1/aug_13_46_163	342	71	Октябрьский	Norlist
aug_1/aug_13_46_164	476	63	Октябрьскии	Norlist
aug_1/aug_13_46_165	554	64	Октябрьский	Norlist
aug_1/aug_13_46_166	592	78	Октябрьский	Norlist
aug_1/aug_13_46_167	511	56	Октябрьский	Norlist
aug_1/aug_13_46_168	508	93	Октябрьский	Norlist
aug_1/aug_13_46_169	471	71	Октябрьский	Norlist
aug_1/aug_13_46_170	549	92	Октябрьский	Norlist
aug_1/aug_13_46_171	432	76	Октябрьский	Norlist
aug_1/aug_13_46_174	417	70	Октябрьский	Norlist
aug_1/aug_13_46_176	428	79	Октябрьский	Norlist
aug_1/aug_13_46_179	481	61	Октябрьский	Norlist
aug_1/aug_13_46_181	479	64	Октябрьский	Norlist
aug_1/aug_13_46_182	452	71	Октябрьский	Norlist
aug_1/aug_13_46_183	420	69	Октябрьский	Norlist
aug_1/aug_13_46_184	498	63	Октябрьский	Norlist
aug_1/aug_13_46_185	448	91	Октябрьский	Norlist
aug_1/aug_13_46_186	595	74	Октябрьский	Norlist
aug_1/aug_13_46_188	449	77	Октябрьский	Norlist
aug_1/aug_13_46_189	535	79	Октябрьский	Norlist
aug_1/aug_13_46_190	437	65	Октябрьский	Norlist
aug_1/aug_13_46_192	287	70	Октябрьский	Norlist
aug_1/aug_13_46_193	385	82	Октябрьский	Norlist
aug_1/aug_13_46_195	366	58	Октябрьский	Norlist
aug_1/aug_13_46_196	364	63	Октябрьский	Norlist
aug_1/aug_13_46_197	468	85	Октябрьский	Norlist
aug_1/aug_13_46_198	417	91	Октябрьский	Norlist
aug_1/aug_13_46_199	416	87	Октябрьский	Norlist
aug_1/aug_13_46_200	348	86	Октябрьский	Norlist
aug_1/aug_13_46_202	538	85	Октябрьский	Norlist
aug_1/aug_13_46_203	378	79	Октябрьский	Norlist
aug_1/aug_13_46_204	517	92	Октябрьский	Norlist
aug_1/aug_13_47_138	453	65	Осакаровка	Norlist
aug_1/aug_13_47_139	281	72	Осакаровка	Norlist
aug_1/aug_13_47_140	400	63	Осакаровка	Norlist
aug_1/aug_13_47_142_	433	53	Осакаровка	Norlist
aug_1/aug_13_47_143	311	64	Осакаровка	Norlist
aug_1/aug_13_47_145	271	93	Осакаровка	Norlist
aug_1/aug_13_47_146	231	68	Осакаровка	Norlist
aug_1/aug_13_47_147	353	80	Осакаровка	Norlist
aug_1/aug_13_47_148	414	75	Осакаровя	Norlist
aug_1/aug_13_47_149	471	86	Осакаровка	Norlist
aug_1/aug_13_47_150	424	62	Осакаровка	Norlist
aug_1/aug_13_47_151	335	54	Осакаровка	Norlist
aug_1/aug_13_47_153	387	71	Осакаровка	Norlist
aug_1/aug_13_47_154	448	92	Осакаровка	Norlist
aug_1/aug_13_47_155	454	70	Осакаровка	Norlist
aug_1/aug_13_47_156	375	45	Осакаровка	Norlist
aug_1/aug_13_47_157	401	72	Осакаровка	Norlist
aug_1/aug_13_47_158	408	57	Осакаровка	Norlist
aug_1/aug_13_47_159	353	60	Осакаровка	Norlist
aug_1/aug_13_47_160	280	81	Осакаровка	Norlist
aug_1/aug_13_47_161	352	82	Осакаровка	Norlist
aug_1/aug_13_47_162	435	78	Оскаровка	Norlist
aug_1/aug_13_47_163	269	72	Осакаровка	Norlist
aug_1/aug_13_47_164	395	70	Осакаровка	Norlist
aug_1/aug_13_47_165	475	64	Осакаровка	Norlist
aug_1/aug_13_47_166	476	73	Осакаровка	Norlist
aug_1/aug_13_47_167	423	70	Осакаровка	Norlist
aug_1/aug_13_47_168	539	90	Осакаровка	Norlist
aug_1/aug_13_47_169	449	82	Осакаровка	Norlist
aug_1/aug_13_47_170	490	94	Осакаровка	Norlist
aug_1/aug_13_47_171	380	72	Осакаровка	Norlist
aug_1/aug_13_47_173	598	84	Осакаровка	Norlist
aug_1/aug_13_47_174	368	94	Осакаровка	Norlist
aug_1/aug_13_47_175	524	99	Оскаровка	Norlist
aug_1/aug_13_47_176	391	73	Осакаровка	Norlist
aug_1/aug_13_47_178	548	80	Осакаровка	Norlist
aug_1/aug_13_47_179	398	68	Осакаровка	Norlist
aug_1/aug_13_47_180	565	63	Осакоровка	Norlist
aug_1/aug_13_47_181	401	66	Осакаровка	Norlist
aug_1/aug_13_47_182	373	57	Осакаровка	Norlist
aug_1/aug_13_47_183	391	63	Осакаровка	Norlist
aug_1/aug_13_47_184	465	69	Осакаровка	Norlist
aug_1/aug_13_47_185	379	94	Осакаровка	Norlist
aug_1/aug_13_47_186	495	86	Осакаровка	Norlist
aug_1/aug_13_47_187	580	80	Осакаровка	Norlist
aug_1/aug_13_47_188	410	77	Осакаровка	Norlist
aug_1/aug_13_47_190	364	66	Осакаровка	Norlist
aug_1/aug_13_47_192	259	76	Осакаровка	Norlist
aug_1/aug_13_47_193	369	76	Осакаровка	Norlist
aug_1/aug_13_47_195	310	69	Осакаровка	Norlist
aug_1/aug_13_47_196	234	49	Осакара	Norlist
aug_1/aug_13_47_197	407	74	Осакаровка	Norlist
aug_1/aug_13_47_199	368	71	Осакаровка	Norlist
aug_1/aug_13_47_200	343	93	Осакаровка	Norlist
aug_1/aug_13_47_201	547	94	Осакаровка	Norlist
aug_1/aug_13_47_202	481	93	Осакаровка	Norlist
aug_1/aug_13_47_203	329	72	Осакаровка	Norlist
aug_1/aug_13_47_204	431	89	Осакаровка	Norlist
aug_1/aug_13_48_139	436	63	Отеген батыра	Norlist
aug_1/aug_13_48_140	498	63	Отеген батыра	Norlist
aug_1/aug_13_48_142_	532	58	Отеген батыра	Norlist
aug_1/aug_13_48_143	411	62	Отеген батыра	Norlist
aug_1/aug_13_48_145	442	84	Отеген батыра	Norlist
aug_1/aug_13_48_146	401	88	Отеген батыра	Norlist
aug_1/aug_13_48_147	571	70	Отеген батыра	Norlist
aug_1/aug_13_48_148	547	65	Отеген батыра	Norlist
aug_1/aug_13_48_149	555	65	Отеген батыра	Norlist
aug_1/aug_13_48_151	420	60	отеген батыра	Norlist
aug_1/aug_13_48_153	521	78	Отеген батыра	Norlist
aug_1/aug_13_48_157	554	64	Отеген батыра	Norlist
aug_1/aug_13_48_158	542	68	Отеген батыра	Norlist
aug_1/aug_13_48_159	564	62	Отеген батыра	Norlist
aug_1/aug_13_48_160	420	76	Отеген батыра	Norlist
aug_1/aug_13_48_161	467	69	Отеген батыра	Norlist
aug_1/aug_13_48_163	507	72	Отеген батыра	Norlist
aug_1/aug_13_48_169	564	72	Отеген батыра	Norlist
aug_1/aug_13_48_171	496	68	Отеген батыра	Norlist
aug_1/aug_13_48_174	521	89	Отеген батыра	Norlist
aug_1/aug_13_48_176	568	71	Отеген батыра	Norlist
aug_1/aug_13_48_181	544	64	Отеген батыра	Norlist
aug_1/aug_13_48_182	510	57	Отеген батыра	Norlist
aug_1/aug_13_48_183	528	70	Отеген батыра	Norlist
aug_1/aug_13_48_184	553	66	Отеген батыра	Norlist
aug_1/aug_13_48_185	488	91	Отеген батыра	Norlist
aug_1/aug_13_48_188	586	66	Отеген батыра	Norlist
aug_1/aug_13_48_190	493	73	Отеген батыра	Norlist
aug_1/aug_13_48_192	352	72	Отеген батыра	Norlist
aug_1/aug_13_48_193	538	81	Отеген батыра	Norlist
aug_1/aug_13_48_195	537	70	Отеген батыра	Norlist
aug_1/aug_13_48_196	384	56	Отеген батыр	Norlist
aug_1/aug_13_48_197	566	89	Отеген батыр	Norlist
aug_1/aug_13_48_198	588	82	Отеген батыра	Norlist
aug_1/aug_13_48_199	438	70	Отеген батыра	Norlist
aug_1/aug_13_48_200	499	94	Отеген батыра	Norlist
aug_1/aug_13_48_202	572	74	Отеген батыр	Norlist
aug_1/aug_13_48_203	474	82	Отеген батыра	Norlist
aug_1/aug_13_48_204	592	86	Отеген батыра	Norlist
aug_1/aug_13_49_138	360	57	Сарыколь	Norlist
aug_1/aug_13_49_139	292	72	Сарыколь	Norlist
aug_1/aug_13_49_140	312	55	Сарыколь	Norlist
aug_1/aug_13_49_142_	344	66	Сарыколь	Norlist
aug_1/aug_13_49_143	227	75	Сарыколь	Norlist
aug_1/aug_13_49_145	264	88	Сарыколь	Norlist
aug_1/aug_13_49_146	208	83	Сарыколь	Norlist
aug_1/aug_13_49_147	285	67	Сарыколь	Norlist
aug_1/aug_13_49_148	270	87	Сарыколь	Norlist
aug_1/aug_13_49_149	365	56	Сарыколь	Norlist
aug_1/aug_13_49_150	347	72	Сарыколь	Norlist
aug_1/aug_13_49_151	240	49	Сарыколь	Norlist
aug_1/aug_13_49_152	465	58	Сарыколь	Norlist
aug_1/aug_13_49_153	310	60	Сарыколь	Norlist
aug_1/aug_13_49_154	341	74	Сарыколь	Norlist
aug_1/aug_13_49_155	350	71	Сарыколь	Norlist
aug_1/aug_13_49_156	256	54	Сарыколь	Norlist
aug_1/aug_13_49_157	350	83	Сарыколь	Norlist
aug_1/aug_13_49_158	313	69	Сарыколь	Norlist
aug_1/aug_13_49_159	252	64	Сарыколь	Norlist
aug_1/aug_13_49_160	229	84	Сарыколь	Norlist
aug_1/aug_13_49_161	278	85	Сарыколь	Norlist
aug_1/aug_13_49_162	420	69	Сарыколь	Norlist
aug_1/aug_13_49_163	292	84	Сарыколь	Norlist
aug_1/aug_13_49_164	323	64	Сарыколь	Norlist
aug_1/aug_13_49_165	363	56	Сарыколь	Norlist
aug_1/aug_13_49_166	486	88	Сарыколь	Norlist
aug_1/aug_13_49_167	338	74	Сарыколь	Norlist
aug_1/aug_13_49_169	327	92	Сарыколь	Norlist
aug_1/aug_13_49_170	434	79	Сарыколь	Norlist
aug_1/aug_13_49_171	286	76	Сарыколь	Norlist
aug_1/aug_13_49_173	472	66	Сарыколь	Norlist
aug_1/aug_13_49_174	272	78	Сарыколь	Norlist
aug_1/aug_13_49_176	301	84	Сарыколь	Norlist
aug_1/aug_13_49_178	444	84	Сарыколь	Norlist
aug_1/aug_13_49_179	322	73	Сарыколь	Norlist
aug_1/aug_13_49_180	447	67	Сарыколь	Norlist
aug_1/aug_13_49_181	383	59	Сарыколь	Norlist
aug_1/aug_13_49_182	290	50	Сарыколь	Norlist
aug_1/aug_13_49_183	285	72	Сарыколь	Norlist
aug_1/aug_13_49_184	371	53	Сарыколь	Norlist
aug_1/aug_13_49_186	465	76	Сарыколь	Norlist
aug_1/aug_13_49_187	451	79	Сарыколь	Norlist
aug_1/aug_13_49_188	365	70	Сарыколь	Norlist
aug_1/aug_13_49_190	246	81	Сирыколь	Norlist
aug_1/aug_13_49_192	219	74	Сарыколь	Norlist
aug_1/aug_13_49_193	309	90	Сарыколь	Norlist
aug_1/aug_13_49_194	454	99	Сарыколь	Norlist
aug_1/aug_13_49_195	266	60	Сарыколь	Norlist
aug_1/aug_13_49_196	254	58	Сарыколь	Norlist
aug_1/aug_13_49_197	335	93	Сарыколь	Norlist
aug_1/aug_13_49_199	283	79	Сарыколь	Norlist
aug_1/aug_13_49_200	261	73	Сарыколь	Norlist
aug_1/aug_13_49_201	442	72	Сарыколь	Norlist
aug_1/aug_13_49_202	421	74	Сарыколь	Norlist
aug_1/aug_13_49_203	275	83	Сарыколь	Norlist
aug_1/aug_13_49_204	317	85	Сарыколь	Norlist
aug_1/aug_13_4_138	246	57	Уштобе	Norlist
aug_1/aug_13_4_139	213	66	Уштобе	Norlist
aug_1/aug_13_4_140	263	54	Уштобе	Norlist
aug_1/aug_13_4_141_	242	70	Уштобе	Norlist
aug_1/aug_13_4_143	195	57	Уштобе	Norlist
aug_1/aug_13_4_144_	344	67	Уштобе	Norlist
aug_1/aug_13_4_145	211	63	Уштобе	Norlist
aug_1/aug_13_4_146	154	71	Уштобе	Norlist
aug_1/aug_13_4_147	281	62	Уштобе	Norlist
aug_1/aug_13_4_148	274	58	Уштобе	Norlist
aug_1/aug_13_4_149	285	47	Уштобе	Norlist
aug_1/aug_13_4_150	280	79	Уштобе	Norlist
aug_1/aug_13_4_151	222	74	Уштобе	Norlist
aug_1/aug_13_4_152	376	66	Уштобе	Norlist
aug_1/aug_13_4_153	221	63	Уштобе	Norlist
aug_1/aug_13_4_154	250	80	Уштобе	Norlist
aug_1/aug_13_4_155	280	74	Уштобе	Norlist
aug_1/aug_13_4_157	269	58	Уштобе	Norlist
aug_1/aug_13_4_158	252	62	Уштобе	Norlist
aug_1/aug_13_4_159	256	73	Уштобе	Norlist
aug_1/aug_13_4_160	221	62	Уштобе	Norlist
aug_1/aug_13_4_161	271	78	Уштобе	Norlist
aug_1/aug_13_4_162	350	74	Уштобе	Norlist
aug_1/aug_13_4_163	224	76	Уштобе	Norlist
aug_1/aug_13_4_164	296	57	Уштобе	Norlist
aug_1/aug_13_4_165	333	59	Уштобе	Norlist
aug_1/aug_13_4_166	277	66	Уштобе	Norlist
aug_1/aug_13_4_167	279	77	Уштобе	Norlist
aug_1/aug_13_4_168	323	76	Уштобе	Norlist
aug_1/aug_13_4_169	206	50	Уштобе	Norlist
aug_1/aug_13_4_170	315	86	Уштобе	Norlist
aug_1/aug_13_4_171	249	67	Уштобе	Norlist
aug_1/aug_13_4_172	229	63	Уштобе	Norlist
aug_1/aug_13_4_173	329	89	Уштобе	Norlist
aug_1/aug_13_4_174	254	78	Уштобе	Norlist
aug_1/aug_13_4_175	388	79	Уштобе	Norlist
aug_1/aug_13_4_176	231	63	Уштобе	Norlist
aug_1/aug_13_4_177	293	80	Уштобе	Norlist
aug_1/aug_13_4_178	349	75	Уштобе	Norlist
aug_1/aug_13_4_179	289	73	Уштобе	Norlist
aug_1/aug_13_4_180	386	58	Уштобе	Norlist
aug_1/aug_13_4_181	297	59	Уштобе	Norlist
aug_1/aug_13_4_182	236	64	Уштобе	Norlist
aug_1/aug_13_4_183	233	58	Уштобе	Norlist
aug_1/aug_13_4_184	297	56	Уштобе	Norlist
aug_1/aug_13_4_186	345	68	Уштобе	Norlist
aug_1/aug_13_4_187	334	78	Уштобе	Norlist
aug_1/aug_13_4_188	300	68	Уштобе	Norlist
aug_1/aug_13_4_189	337	80	Уштобе	Norlist
aug_1/aug_13_4_190	240	66	Уштобе	Norlist
aug_1/aug_13_4_191	205	52	Уштобе	Norlist
aug_1/aug_13_4_192	175	53	Уштобе	Norlist
aug_1/aug_13_4_193	231	54	Уштобе	Norlist
aug_1/aug_13_4_194	282	91	Уштобе	Norlist
aug_1/aug_13_4_195	225	56	Уштобе	Norlist
aug_1/aug_13_4_196	178	63	Уштобе	Norlist
aug_1/aug_13_4_197	251	58	Уштобе	Norlist
aug_1/aug_13_4_198	285	71	Уштобе	Norlist
aug_1/aug_13_4_199	209	62	Уштобе	Norlist
aug_1/aug_13_4_200	237	78	Уштобе	Norlist
aug_1/aug_13_4_201	234	78	Уштобе	Norlist
aug_1/aug_13_4_202	263	72	Уштобе	Norlist
aug_1/aug_13_4_203	229	58	Уштобе	Norlist
aug_1/aug_13_4_204	324	96	Уштобе	Norlist
aug_1/aug_13_50_138	340	65	Сарыозек	Norlist
aug_1/aug_13_50_140	355	60	Сарыозек	Norlist
aug_1/aug_13_50_142_	382	65	Сарыозек	Norlist
aug_1/aug_13_50_143	243	75	Сарыозек	Norlist
aug_1/aug_13_50_145	240	90	Сарыозек	Norlist
aug_1/aug_13_50_146	196	91	Сарыозек	Norlist
aug_1/aug_13_50_147	291	71	Сарыозек	Norlist
aug_1/aug_13_50_148	281	66	Сарыозек	Norlist
aug_1/aug_13_50_149	318	70	Сарыозек	Norlist
aug_1/aug_13_50_150	347	63	Сарыозек	Norlist
aug_1/aug_13_50_151	237	63	Сарыозек	Norlist
aug_1/aug_13_50_152	415	94	Сарыозек	Norlist
aug_1/aug_13_50_153	329	75	Сарыозек	Norlist
aug_1/aug_13_50_154	316	89	Сарыозек	Norlist
aug_1/aug_13_50_155	377	66	Сарыозек	Norlist
aug_1/aug_13_50_156	266	58	Сарыозек	Norlist
aug_1/aug_13_50_157	346	70	Сарыозек	Norlist
aug_1/aug_13_50_158	330	65	Сарыозек	Norlist
aug_1/aug_13_50_159	256	75	Сарыозек	Norlist
aug_1/aug_13_50_160	209	79	Сарыозек	Norlist
aug_1/aug_13_50_161	266	79	Сарыозек	Norlist
aug_1/aug_13_50_162	387	76	Сарыозек	Norlist
aug_1/aug_13_50_163	273	71	Сарыозек	Norlist
aug_1/aug_13_50_164	290	53	Сарыозек	Norlist
aug_1/aug_13_50_165	366	66	Сарыозек	Norlist
aug_1/aug_13_50_166	391	84	Сарыозек	Norlist
aug_1/aug_13_50_167	318	71	Сарыозек	Norlist
aug_1/aug_13_50_169	355	83	Сарыозек	Norlist
aug_1/aug_13_50_170	441	81	Сарыозек	Norlist
aug_1/aug_13_50_171	271	80	Сарыозек	Norlist
aug_1/aug_13_50_173	454	86	Сарыозек	Norlist
aug_1/aug_13_50_174	258	89	Сарыозек	Norlist
aug_1/aug_13_50_175	408	83	Сарыозек	Norlist
aug_1/aug_13_50_176	338	70	Сарыозек	Norlist
aug_1/aug_13_50_178	408	62	Сарыозек	Norlist
aug_1/aug_13_50_179	336	78	Сарыозек	Norlist
aug_1/aug_13_50_180	417	68	Сарыозек	Norlist
aug_1/aug_13_50_181	348	76	Сарыозек	Norlist
aug_1/aug_13_50_182	283	61	Сарыозек	Norlist
aug_1/aug_13_50_183	299	79	Сарыозек	Norlist
aug_1/aug_13_50_186	440	78	Сарыозек	Norlist
aug_1/aug_13_50_187	480	81	Сарыозек	Norlist
aug_1/aug_13_50_188	361	69	Сарыозек	Norlist
aug_1/aug_13_50_190	236	74	Сарыозек	Norlist
aug_1/aug_13_50_192	224	67	Сарыозек	Norlist
aug_1/aug_13_50_194	450	88	Сарыозек	Norlist
aug_1/aug_13_50_195	260	65	Сарыозек	Norlist
aug_1/aug_13_50_196	256	59	Сарыозек	Norlist
aug_1/aug_13_50_197	326	86	Сарыозек	Norlist
aug_1/aug_13_50_199	286	72	Сарыозек	Norlist
aug_1/aug_13_50_200	247	88	Сарыозек	Norlist
aug_1/aug_13_50_201	430	88	Сарыозек	Norlist
aug_1/aug_13_50_202	431	73	Сарыозек	Norlist
aug_1/aug_13_50_203	289	78	Сарыозек	Norlist
aug_1/aug_13_50_204	385	90	Сарыозек	Norlist
aug_1/aug_13_51_138	175	47	Саяк	Norlist
aug_1/aug_13_51_140	176	49	Саяк	Norlist
aug_1/aug_13_51_142_	215	63	Саяк	Norlist
aug_1/aug_13_51_143	141	65	Саяк	Norlist
aug_1/aug_13_51_145	140	68	Саяк	Norlist
aug_1/aug_13_51_147	180	58	Саяк	Norlist
aug_1/aug_13_51_148	176	44	Сояк	Norlist
aug_1/aug_13_51_149	157	48	Саяк	Norlist
aug_1/aug_13_51_150	185	56	Саяк	Norlist
aug_1/aug_13_51_151	154	35	Саяк	Norlist
aug_1/aug_13_51_152	240	62	Саяк	Norlist
aug_1/aug_13_51_153	176	56	Саяк	Norlist
aug_1/aug_13_51_154	196	63	Саяк	Norlist
aug_1/aug_13_51_155	175	52	Саяк	Norlist
aug_1/aug_13_51_156	148	51	Саяк	Norlist
aug_1/aug_13_51_157	169	61	Саяк	Norlist
aug_1/aug_13_51_158	203	50	Саяк	Norlist
aug_1/aug_13_51_159	149	53	Саяк	Norlist
aug_1/aug_13_51_160	104	60	Саяк	Norlist
aug_1/aug_13_51_161	163	66	Саяк	Norlist
aug_1/aug_13_51_162	274	69	Саяк	Norlist
aug_1/aug_13_51_163	134	65	Саяк	Norlist
aug_1/aug_13_51_164	194	48	Саяк	Norlist
aug_1/aug_13_51_165	176	42	Саяк	Norlist
aug_1/aug_13_51_166	230	54	Саяк	Norlist
aug_1/aug_13_51_167	228	57	Саяк	Norlist
aug_1/aug_13_51_169	173	66	Саяк	Norlist
aug_1/aug_13_51_170	227	84	Саяк	Norlist
aug_1/aug_13_51_171	161	48	Саяк	Norlist
aug_1/aug_13_51_173	255	59	Саяк	Norlist
aug_1/aug_13_51_174	167	78	Саяк	Norlist
aug_1/aug_13_51_175	232	58	Саяк	Norlist
aug_1/aug_13_51_176	210	66	Саяк	Norlist
aug_1/aug_13_51_179	273	99	Саяк	Norlist
aug_1/aug_13_51_180	271	57	Саяк	Norlist
aug_1/aug_13_51_181	199	52	Саяк	Norlist
aug_1/aug_13_51_183	159	57	Саяк	Norlist
aug_1/aug_13_51_185	168	69	Саяк	Norlist
aug_1/aug_13_51_186	268	55	Саяк	Norlist
aug_1/aug_13_51_187	274	69	Саяк	Norlist
aug_1/aug_13_51_188	202	52	Саяк	Norlist
aug_1/aug_13_51_189	280	78	Саяк	Norlist
aug_1/aug_13_51_190	154	68	Саяк	Norlist
aug_1/aug_13_51_192	136	54	Саяк	Norlist
aug_1/aug_13_51_194	222	80	Саяк	Norlist
aug_1/aug_13_51_196	142	42	Саяк	Norlist
aug_1/aug_13_51_199	151	55	Саяк	Norlist
aug_1/aug_13_51_200	139	68	Саяк	Norlist
aug_1/aug_13_51_201	199	63	Саяк	Norlist
aug_1/aug_13_51_202	237	62	Саяк	Norlist
aug_1/aug_13_51_203	159	62	Саяк	Norlist
aug_1/aug_13_51_204	173	67	Саяк	Norlist
aug_1/aug_13_5_138	532	63	Форт-Шевченко	Norlist
aug_1/aug_13_5_139	485	74	Форт-Шевченко	Norlist
aug_1/aug_13_5_140	460	56	Форт-Шевченко	Norlist
aug_1/aug_13_5_142_	474	66	Форт-Шевченко	Norlist
aug_1/aug_13_5_143	457	72	Форт-Шевчешко	Norlist
aug_1/aug_13_5_144_	560	82	Форт-Шевченко	Norlist
aug_1/aug_13_5_146	334	82	Форт-Шевченко	Norlist
aug_1/aug_13_5_147	476	74	Форт-Шевченко	Norlist
aug_1/aug_13_5_148	454	80	Форт-Шевченко	Norlist
aug_1/aug_13_5_149	560	72	Фарт-Шевченко	Norlist
aug_1/aug_13_5_150	552	88	Форт-Шевченко	Norlist
aug_1/aug_13_5_151	429	86	Форт-Шевченко	Norlist
aug_1/aug_13_5_152	592	67	Форт-Шевченко	Norlist
aug_1/aug_13_5_153	473	68	Форт-Шевченко	Norlist
aug_1/aug_13_5_154	498	88	Форт-Шевченко	Norlist
aug_1/aug_13_5_155	422	65	Форт-Шевченко	Norlist
aug_1/aug_13_5_156	499	55	Фора-Шевченко	Norlist
aug_1/aug_13_5_157	506	68	Форт-Шевченко	Norlist
aug_1/aug_13_5_158	516	62	Форт-Шевченко	Norlist
aug_1/aug_13_5_159	452	73	Форт-Шевченко	Norlist
aug_1/aug_13_5_160	381	85	Форт-Шевченко	Norlist
aug_1/aug_13_5_161	475	83	Форт-Шевченко	Norlist
aug_1/aug_13_5_162	554	77	Форт-Шевченко	Norlist
aug_1/aug_13_5_163	454	71	Форт-Шевченко	Norlist
aug_1/aug_13_5_164	481	66	Форт-Шевченко	Norlist
aug_1/aug_13_5_165	572	67	Форт-Шевченко	Norlist
aug_1/aug_13_5_166	518	74	Форт-Шевченко	Norlist
aug_1/aug_13_5_167	487	84	Форт-Шевченко	Norlist
aug_1/aug_13_5_169	479	90	Форт-Шевченко	Norlist
aug_1/aug_13_5_170	561	98	Форт-Шевченко	Norlist
aug_1/aug_13_5_171	494	87	Форт-Шевченко	Norlist
aug_1/aug_13_5_172	480	77	Форт-Шевченко	Norlist
aug_1/aug_13_5_173	530	88	Форт-Шевченко	Norlist
aug_1/aug_13_5_174	449	87	Форт-Шевченко	Norlist
aug_1/aug_13_5_175	596	95	Форт-Шевченко	Norlist
aug_1/aug_13_5_176	484	81	Форт-Шевченка	Norlist
aug_1/aug_13_5_178	532	80	Форт-Шевченко	Norlist
aug_1/aug_13_5_179	486	81	Форт-Шевченко	Norlist
aug_1/aug_13_5_180	549	62	Форт-Шевченко	Norlist
aug_1/aug_13_5_181	552	68	Форт-Шевченко	Norlist
aug_1/aug_13_5_182	494	81	Форт-Шевченко	Norlist
aug_1/aug_13_5_183	510	77	Форт-Шевченко	Norlist
aug_1/aug_13_5_184	552	68	Форт-Шевченко	Norlist
aug_1/aug_13_5_185_	541	90	Форт-Шевченко	Norlist
aug_1/aug_13_5_186	546	76	Форт-Шевченко	Norlist
aug_1/aug_13_5_187	541	65	Форт-Шевченко	Norlist
aug_1/aug_13_5_188	527	75	Форт-Шевченко	Norlist
aug_1/aug_13_5_189	523	89	Форт-Шевченко	Norlist
aug_1/aug_13_5_190	497	67	Фарт-Шевченко	Norlist
aug_1/aug_13_5_191	419	76	Форт-Шевченко	Norlist
aug_1/aug_13_5_192	325	55	Форт-Шевченко	Norlist
aug_1/aug_13_5_195	530	54	Форт-Шевченко	Norlist
aug_1/aug_13_5_196	393	66	Форт-Шевченко	Norlist
aug_1/aug_13_5_197	500	93	Форт-Шевченко	Norlist
aug_1/aug_13_5_198	551	89	Форт-Шевченко	Norlist
aug_1/aug_13_5_199	486	72	Форт-Шевченко	Norlist
aug_1/aug_13_5_201	473	80	Форт-Шевченко	Norlist
aug_1/aug_13_5_202	505	88	Форт-Шевченко	Norlist
aug_1/aug_13_5_203	417	78	Форт-Шевченко	Norlist
aug_1/aug_13_5_204	561	92	Форт-Шевченко	Norlist
aug_1/aug_13_6_138	314	76	Хромтау	Norlist
aug_1/aug_13_6_139	278	75	Хромтау	Norlist
aug_1/aug_13_6_140	278	64	Хромтау	Norlist
aug_1/aug_13_6_142_	365	68	Хромтау	Norlist
aug_1/aug_13_6_143	242	73	Хромтау	Norlist
aug_1/aug_13_6_144_	399	72	Хромтау	Norlist
aug_1/aug_13_6_146	194	83	Хромтау	Norlist
aug_1/aug_13_6_147	337	61	Хромтау	Norlist
aug_1/aug_13_6_148	284	63	Хромтау	Norlist
aug_1/aug_13_6_149	305	56	Хромтау	Norlist
aug_1/aug_13_6_150	340	72	Хромтау	Norlist
aug_1/aug_13_6_151	247	76	Хромтау	Norlist
aug_1/aug_13_6_152	488	73	Хромтау	Norlist
aug_1/aug_13_6_153	294	54	Хромтау	Norlist
aug_1/aug_13_6_154	355	72	Хромтау	Norlist
aug_1/aug_13_6_155	292	50	Хромтау	Norlist
aug_1/aug_13_6_156	265	50	Хромтау	Norlist
aug_1/aug_13_6_157	267	77	Хромтау	Norlist
aug_1/aug_13_6_158	308	57	Хромтау	Norlist
aug_1/aug_13_6_159	281	59	Хромтау	Norlist
aug_1/aug_13_6_160	246	71	Хромтау	Norlist
aug_1/aug_13_6_161	314	69	Хромтау	Norlist
aug_1/aug_13_6_162	348	84	Хромтау	Norlist
aug_1/aug_13_6_163	294	78	Хромтау	Norlist
aug_1/aug_13_6_164	330	57	Хромтау	Norlist
aug_1/aug_13_6_165	373	54	Хромтау	Norlist
aug_1/aug_13_6_166	304	75	Хромтау	Norlist
aug_1/aug_13_6_167	394	86	Хромтау	Norlist
aug_1/aug_13_6_169	308	78	Хромтау	Norlist
aug_1/aug_13_6_170	376	76	Хромтау	Norlist
aug_1/aug_13_6_171	287	80	Хромтау	Norlist
aug_1/aug_13_6_173	399	82	Хромтау	Norlist
aug_1/aug_13_6_174	295	70	Хромтау	Norlist
aug_1/aug_13_6_175	385	91	Хромтау	Norlist
aug_1/aug_13_6_176	281	71	Хромтау	Norlist
aug_1/aug_13_6_178	378	81	Хромтау	Norlist
aug_1/aug_13_6_179	297	83	Хромтау	Norlist
aug_1/aug_13_6_180	367	70	Хромтау	Norlist
aug_1/aug_13_6_181	307	76	Хромтау	Norlist
aug_1/aug_13_6_182	314	65	Хромтау	Norlist
aug_1/aug_13_6_183	307	74	Хромтау	Norlist
aug_1/aug_13_6_184	356	68	Хромтау	Norlist
aug_1/aug_13_6_186	370	82	Хромтау	Norlist
aug_1/aug_13_6_187	382	77	Хромтау	Norlist
aug_1/aug_13_6_188	393	68	Хромтау	Norlist
aug_1/aug_13_6_189	400	86	Хромтау	Norlist
aug_1/aug_13_6_190	234	70	Хромтау	Norlist
aug_1/aug_13_6_191	242	75	Хромтау	Norlist
